"time","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,6,6,6,5,5,7,6,NA,NA,NA,NA,NA,NA,6,5,6,5,6,5,NA,NA,5,6,7,8,7,7,7,9,10,10,NA,NA,NA,NA,NA,NA,6,6,6,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.264444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,10,10,10,10,11,10,10,10,10,NA,NA,NA,NA,NA,NA,10,9,9,10,9,9,NA,NA,9,11,11,11,11,12,11,16,16,16,NA,NA,NA,NA,NA,NA,10,10,10,10,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.528611111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,13,12,13,12,15,13,14,14,14,NA,NA,NA,NA,NA,NA,13,13,12,12,13,13,NA,NA,11,14,15,15,15,15,15,22,21,22,NA,NA,NA,NA,NA,NA,13,13,13,13,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.793055555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,17,16,16,16,19,15,18,18,19,NA,NA,NA,NA,NA,NA,15,16,16,16,16,17,NA,NA,13,19,21,20,18,18,18,27,28,28,NA,NA,NA,NA,NA,NA,17,17,17,18,15,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.13527777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,20,20,20,21,23,20,22,22,23,NA,NA,NA,NA,NA,NA,20,20,20,20,20,20,NA,NA,14,23,26,25,23,22,22,33,33,33,NA,NA,NA,NA,NA,NA,20,22,21,22,18,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.39972222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,24,23,24,24,27,22,26,26,27,NA,NA,NA,NA,NA,NA,22,24,23,24,23,24,NA,NA,15,28,31,31,27,26,26,35,36,35,NA,NA,NA,NA,NA,NA,24,25,26,27,22,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.66388888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,29,27,29,30,34,26,32,32,33,NA,NA,NA,NA,NA,NA,27,28,28,28,27,28,NA,NA,15,34,38,38,33,32,33,37,37,37,NA,NA,NA,NA,NA,NA,29,31,30,32,25,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.92833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,34,33,35,37,42,32,38,39,40,NA,NA,NA,NA,NA,NA,32,33,33,32,32,33,NA,NA,14,42,47,47,40,40,39,37,37,37,NA,NA,NA,NA,NA,NA,35,36,36,36,27,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.19277777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,41,40,44,44,50,38,46,47,47,NA,NA,NA,NA,NA,NA,36,38,38,37,36,37,NA,NA,15,50,56,57,48,47,48,37,38,38,NA,NA,NA,NA,NA,NA,39,42,41,40,30,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.45694444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,49,48,52,54,60,46,53,56,55,NA,NA,NA,NA,NA,NA,41,43,43,42,41,42,NA,NA,15,59,66,67,57,58,59,38,38,38,NA,NA,NA,NA,NA,NA,44,46,45,44,33,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
