"time","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0855,0.1793,0.1802,0.184,0.1927,0.2146,0.1707,0.2048,0.1977,0.2017,NA,NA,NA,NA,NA,NA,0.1781,0.1764,0.1772,0.1817,0.1767,0.183,NA,NA,0.0851,0.2206,0.2481,0.2479,0.2105,0.2087,0.2123,0.4235,0.4252,0.4269,NA,NA,NA,NA,NA,NA,0.1834,0.2025,0.1931,0.2185,0.1654,0.2081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.264444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0848,0.2,0.1997,0.208,0.2174,0.2471,0.1914,0.2384,0.2323,0.2398,NA,NA,NA,NA,NA,NA,0.198,0.1975,0.1964,0.2052,0.199,0.207,NA,NA,0.0849,0.2537,0.2895,0.2895,0.2398,0.2388,0.2435,0.4779,0.4822,0.4852,NA,NA,NA,NA,NA,NA,0.212,0.2313,0.2229,0.2538,0.1857,0.2407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.528888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0851,0.234,0.2335,0.2426,0.2629,0.2988,0.2268,0.288,0.2823,0.2901,NA,NA,NA,NA,NA,NA,0.2316,0.2301,0.2296,0.2435,0.2348,0.2438,NA,NA,0.0847,0.3097,0.349,0.3495,0.2866,0.2858,0.2916,0.5436,0.5493,0.5511,NA,NA,NA,NA,NA,NA,0.2499,0.2765,0.2706,0.3008,0.2177,0.2871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.793333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0843,0.2831,0.2815,0.2926,0.3135,0.3493,0.2712,0.3309,0.3303,0.3332,NA,NA,NA,NA,NA,NA,0.2805,0.2787,0.277,0.288,0.2765,0.2825,NA,NA,0.0848,0.3627,0.4016,0.4043,0.3483,0.347,0.3548,0.6123,0.6178,0.6179,NA,NA,NA,NA,NA,NA,0.3052,0.3287,0.3231,0.3322,0.2399,0.3155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.13527777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0847,0.3152,0.3131,0.3293,0.3472,0.3833,0.2988,0.3667,0.3695,0.3745,NA,NA,NA,NA,NA,NA,0.3132,0.3147,0.3105,0.3393,0.328,0.3367,NA,NA,0.085,0.3998,0.443,0.4463,0.4033,0.4057,0.4106,0.655,0.6641,0.6535,NA,NA,NA,NA,NA,NA,0.3481,0.3674,0.3616,0.393,0.2943,0.3746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0848,0.3606,0.3589,0.3767,0.3924,0.428,0.3378,0.4139,0.4167,0.4217,NA,NA,NA,NA,NA,NA,0.3695,0.3705,0.3621,0.39,0.3813,0.3882,NA,NA,0.0851,0.4529,0.4951,0.4994,0.4498,0.4526,0.459,0.6763,0.6861,0.6741,NA,NA,NA,NA,NA,NA,0.3993,0.4215,0.414,0.44,0.3408,0.4232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.66416666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0847,0.4063,0.4026,0.423,0.4345,0.4703,0.3783,0.4593,0.4621,0.4656,NA,NA,NA,NA,NA,NA,0.4352,0.4352,0.4232,0.4477,0.4367,0.4422,NA,NA,0.085,0.4986,0.541,0.5479,0.4988,0.5036,0.5093,0.6939,0.7077,0.693,NA,NA,NA,NA,NA,NA,0.4541,0.4731,0.4663,0.48,0.3751,0.4634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.92861111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0846,0.4461,0.4428,0.4631,0.473,0.5071,0.4147,0.495,0.499,0.501,NA,NA,NA,NA,NA,NA,0.4947,0.5013,0.4828,0.4941,0.4852,0.4919,NA,NA,0.085,0.5376,0.5805,0.5883,0.5477,0.5532,0.5577,0.7124,0.7236,0.7083,NA,NA,NA,NA,NA,NA,0.4987,0.513,0.5065,0.5153,0.4074,0.5007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.19305555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0847,0.4814,0.4771,0.501,0.5077,0.5399,0.4499,0.5279,0.5314,0.5347,NA,NA,NA,NA,NA,NA,0.538,0.5467,0.525,0.5383,0.5292,0.5372,NA,NA,0.0849,0.5726,0.6167,0.6246,0.5904,0.5969,0.603,0.7348,0.7443,0.7269,NA,NA,NA,NA,NA,NA,0.5319,0.5437,0.538,0.5476,0.4279,0.5317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.45722222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0848,0.5101,0.5055,0.5319,0.5341,0.5637,0.4746,0.5566,0.5597,0.5624,NA,NA,NA,NA,NA,NA,0.5771,0.5848,0.5631,0.5763,0.5633,0.5681,NA,NA,0.0849,0.6034,0.6575,0.6659,0.6275,0.6354,0.639,0.7599,0.7707,0.7502,NA,NA,NA,NA,NA,NA,0.5625,0.5716,0.5649,0.5734,0.4463,0.5552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
